"Gene","Accuracy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CRHBP",0.907692307692308,653.865058488174,-3.93883301173575,0.367445388773286,-10.7195058968777,8.24425677412535e-27,5.45510639578117e-25
"GSTZ1",0.907692307692308,897.771528193935,-2.10908792738165,0.21025797686995,-10.0309532070033,1.11435555940286e-23,4.66423635295883e-22
"PLAC8",0.907692307692308,92.1347787926216,-2.45563200690665,0.252665096027014,-9.71892060090522,2.50421948399205e-22,8.80660624346259e-21
"SPC24",0.907692307692308,53.900828932698,2.53153568024987,0.259203301954372,9.76660274449549,1.56615770205421e-22,5.65842648374014e-21
"FLVCR1",0.907692307692308,202.537375338417,2.09703984726436,0.14716301351707,14.2497751109256,4.49727161894501e-46,8.20777114566763e-43
"CAP2",0.907692307692308,384.171831445103,2.20442655892662,0.155189588285664,14.204732310191,8.56292363652145e-46,1.38186558774264e-42
"SRPX",0.907692307692308,150.934898772844,-2.85888905400593,0.298063950391532,-9.59152910055222,8.67890982069957e-22,2.90443516672444e-20
"TMEM26",0.907692307692308,34.4362284625438,-2.22645782761065,0.1823752577718,-12.208113396591,2.81337263682636e-34,6.19112487534334e-32
"RP11-510M2.5",0.907692307692308,23.1926082725113,-4.58849799458796,0.392810349571005,-11.6812044275288,1.59026074713836e-31,2.12875088400346e-29
"FAM180A",0.907692307692308,69.4843206753255,-3.02350264730645,0.379854201271979,-7.95963987546263,1.72540719471099e-15,2.5623531795483e-14
"ST6GAL2",0.907692307692308,59.572699644135,-3.23510210627481,0.327990406107183,-9.86340467903083,5.99803069523966e-23,2.277526740331e-21
"RDH5",0.907692307692308,120.604792634891,-2.30040706472415,0.211730449241101,-10.8647909309663,1.69611221067082e-27,1.26981101792696e-25
"CDKN3",0.907692307692308,100.181551920212,3.16316099777797,0.253585055316581,12.4737674064783,1.03799980851076e-35,2.89921331130968e-33
"MT1M",0.907692307692308,721.057652393304,-3.32183267724721,0.428602415765176,-7.75038253416467,9.16161344101152e-15,1.23435318754408e-13
"PEX11G",0.907692307692308,136.587543492524,-2.05005738838204,0.160471824747308,-12.7751858721008,2.25608104801816e-37,8.73795230437752e-35
"CLEC1B",0.907692307692308,85.5438663834159,-4.37395390058755,0.460642520966438,-9.49533250080973,2.19509710249765e-21,6.96865362113132e-20
"DIRAS3",0.907692307692308,51.0420628446471,-2.82455724303679,0.301366497911966,-9.37249914176555,7.08350625807787e-21,2.0974688051442e-19
"HHIP",0.907692307692308,213.468590105003,-3.79354932714113,0.401056747651466,-9.45888418373619,3.11246694310951e-21,9.67997213741382e-20
"GNA14",0.907692307692308,67.3647141025254,-2.22967776909179,0.204348516621898,-10.9111522116763,1.01955814202401e-27,7.89763330920361e-26
"PDZRN4",0.9,11.4464988237586,-2.07320261164011,0.372667225653225,-5.56314714288633,2.64952300232705e-08,1.49240535527625e-07
"HGF",0.9,429.791531681493,-2.71416840987423,0.263814840715769,-10.2881566575644,7.96872569568121e-25,3.92997528027416e-23
"EFNB3",0.9,20.194376535966,-2.44826924555047,0.272064031944287,-8.99887143498568,2.28049782886832e-19,5.48830993645127e-18
"LCAT",0.9,1171.9315279356,-2.9111987467738,0.201938364920148,-14.4162737374097,4.08826630979303e-47,9.13507382822061e-44
"BCO2",0.9,365.030358415102,-3.21399270110687,0.266070908634246,-12.0794592599561,1.35608589729456e-33,2.69805364004194e-31
"SMAD6",0.9,193.323395510187,-1.83070957909531,0.159025580535528,-11.5120446215652,1.14725667743064e-30,1.37708727132253e-28
"HAND2-AS1",0.9,65.5332256757386,-3.30577240283648,0.415285995667792,-7.96023087058523,1.7171856931499e-15,2.55232561403931e-14
"IQGAP3",0.9,218.038938751507,3.39592173620868,0.238320189716747,14.2494084963799,4.52094252033469e-46,8.20777114566763e-43
"HAMP",0.9,7535.40520092174,-4.37388724788344,0.436266640568473,-10.0257201471653,1.17499874673152e-23,4.90826839939714e-22
"NAT2",0.9,536.053631828561,-3.29490180954435,0.312673112243482,-10.5378482527739,5.7806365328292e-26,3.36504869750747e-24
"RP11-863K10.7",0.9,22.2976515661067,-2.75505586795542,0.238257733286653,-11.5633428974192,6.31996176582158e-31,7.77890887176209e-29
"PNPLA7",0.9,292.057075396778,-1.97310596972993,0.176180701659871,-11.1993308639396,4.10824742294286e-29,3.95153546826637e-27
"LRRN3",0.9,17.2415456698503,-2.99477982599362,0.273169769255229,-10.9630719173597,5.75133449668408e-28,4.67556111620861e-26
"PTN",0.9,71.1126759813713,-1.90110074571868,0.248007373343442,-7.66550090866058,1.78134605036177e-14,2.31519194948137e-13
"TCF21",0.9,23.4820407238691,-2.43092695718958,0.232881182841618,-10.4384859589229,1.65428015871696e-25,8.99768373339328e-24
"NPY1R",0.9,111.817849584198,-2.7917980738385,0.275508935328208,-10.1332396733801,3.93395135885344e-24,1.74729998581001e-22
"CSRNP1",0.9,847.405943734926,-2.3578936106038,0.149829835590966,-15.7371434154198,8.41579935485801e-56,4.88924279319831e-52
"RRM2",0.9,351.48598426075,2.73504866380436,0.24522922438744,11.1530290512326,6.92094963839723e-29,6.45830091836704e-27
"FAM65C",0.9,183.780597999268,-2.80708166907785,0.238066010855853,-11.7911904306975,4.33371630648848e-32,6.62556796162512e-30
"SLC5A1",0.9,76.4943095695834,-3.43208195353419,0.414427044052226,-8.28151058863253,1.21622516884999e-16,2.08061888720579e-15
"RCAN1",0.9,1490.88566150315,-2.1504665303566,0.156453365412471,-13.7450960207033,5.45007012728227e-43,5.45909093301019e-40
"PDE7B",0.9,90.751609147069,-2.10984323452532,0.186358322842664,-11.3214328308084,1.02778172025481e-29,1.06625012178435e-27
"MT1F",0.9,1785.47882534118,-2.82697672592178,0.362152634878033,-7.80603660904984,5.90144448604429e-15,8.17868127054458e-14
"RP11-54O7.3",0.9,27.8231939082394,-2.94651895568916,0.332527502243182,-8.86097822228953,7.93153619831277e-19,1.78186592025204e-17
"NDST3",0.9,22.7279820064609,-3.95682036457751,0.326569657371481,-12.1163135498425,8.6566044031729e-34,1.79612174788119e-31
"INMT",0.9,256.082651421466,-3.29850139563414,0.26524155244987,-12.4358395778035,1.6697709121627e-35,4.40940958695474e-33
"RP11-474N8.5",0.9,6.38438363557875,-3.19292938536199,0.321240978317994,-9.93935892637376,2.80627266165403e-23,1.12127384148179e-21
"STEAP4",0.892307692307692,293.298324973406,-2.37185581726647,0.239031833830453,-9.92276124588845,3.31457267654075e-23,1.30817536831733e-21
"RNF150",0.892307692307692,29.5069864562505,-2.29423170775697,0.233468523298621,-9.82672814023199,8.63795921294586e-23,3.21686460535451e-21
"ANXA3",0.892307692307692,50.4712734845848,-2.05600674234146,0.282838229661703,-7.26919675887027,3.61631343429408e-13,4.00177800530951e-12
"DACH1",0.892307692307692,30.7438262704081,-2.63985312329086,0.224312729957542,-11.7686282173577,5.6637993158004e-32,8.26743932288292e-30
"HBCBP",0.892307692307692,6.98360727716435,-3.23256585255933,0.331270976114125,-9.75807144494813,1.70364005780389e-22,6.10201435253853e-21
"CENPL",0.892307692307692,62.4440745536422,2.28307345412923,0.15679636767046,14.5607547422755,4.99037786032229e-48,1.64871605956262e-44
"RAB25",0.892307692307692,31.547004639822,-4.31801045570277,0.333800876263588,-12.9358871194006,2.82345072560227e-38,1.26177841041992e-35
"RMDN2",0.892307692307692,285.005668808269,-1.22809841789146,0.124682975150799,-9.84976831364607,6.87021618572813e-23,2.59513705803681e-21
"NAAA",0.892307692307692,464.072205507704,-1.72558145735807,0.133279680245295,-12.9470708076596,2.44091308039234e-38,1.12545465332122e-35
"LHX2",0.892307692307692,28.3079134874011,-2.40509729102921,0.299092476395981,-8.04131658545967,8.88783037053335e-16,1.36744542692401e-14
"KIF20A",0.892307692307692,140.138121996427,3.11484990357258,0.273216227589532,11.4006767864909,4.14881195154047e-30,4.56495036243741e-28
